Stock,Code,Total_Rec,Success_Count,Accuracy(%)
SK텔레콤,017670,5,5,100.0
기아,000270,3,3,100.0
기업은행,024110,3,3,100.0
한화에어로스페이스,012450,3,3,100.0
HD현대마린솔루션,443060,2,2,100.0
SK스퀘어,402340,2,2,100.0
SK이노베이션,096770,2,2,100.0
삼성중공업,010140,2,2,100.0
에코프로비엠,247540,2,2,100.0
현대로템,064350,2,2,100.0
현대오토에버,307950,2,2,100.0
DB손해보험,005830,1,1,100.0
HMM,011200,1,1,100.0
LG전자,066570,1,1,100.0
NAVER,035420,1,1,100.0
SK하이닉스,000660,1,1,100.0
두산에너빌리티,034020,1,1,100.0
삼성바이오로직스,207940,1,1,100.0
삼성화재,000810,1,1,100.0
셀트리온,068270,1,1,100.0
에코프로,086520,1,1,100.0
하이브,352820,1,1,100.0
한미반도체,042700,1,1,100.0
현대차,005380,1,1,100.0
삼성전자우,005935,6,5,83.33
현대모비스,012330,6,5,83.33
KB금융,105560,5,4,80.0
LG에너지솔루션,373220,5,4,80.0
우리금융지주,316140,5,4,80.0
HD현대,267250,4,3,75.0
한국전력,015760,4,3,75.0
한국타이어앤테크놀로지,161390,4,3,75.0
한화시스템,272210,4,3,75.0
현대글로비스,086280,4,3,75.0
효성중공업,298040,4,3,75.0
HD한국조선해양,009540,3,2,66.67
HD현대일렉트릭,267260,3,2,66.67
LS ELECTRIC,010120,3,2,66.67
두산,000150,3,2,66.67
메리츠금융지주,138040,3,2,66.67
삼성전기,009150,3,2,66.67
이수페타시스,007660,3,2,66.67
카카오,035720,3,2,66.67
한국금융지주,071050,3,2,66.67
현대건설,000720,3,2,66.67
LG,003550,5,3,60.0
SK,034730,5,3,60.0
S-Oil,010950,4,2,50.0
삼성물산,028260,4,2,50.0
삼성에스디에스,018260,4,2,50.0
신한지주,055550,4,2,50.0
카카오뱅크,323410,4,2,50.0
키움증권,039490,4,2,50.0
포스코퓨처엠,003670,4,2,50.0
하나금융지주,086790,4,2,50.0
한국항공우주,047810,4,2,50.0
HD현대중공업,329180,2,1,50.0
KT,030200,2,1,50.0
POSCO홀딩스,005490,2,1,50.0
삼양식품,003230,2,1,50.0
에이피알,278470,2,1,50.0
LIG넥스원,079550,5,2,40.0
대한항공,003490,5,2,40.0
미래에셋증권,006800,5,2,40.0
크래프톤,259960,5,2,40.0
포스코인터내셔널,047050,5,2,40.0
LG화학,051910,3,1,33.33
고려아연,010130,3,1,33.33
삼성SDI,006400,3,1,33.33
KT&G,033780,1,0,0.0
SK바이오팜,326030,1,0,0.0
★전체 평균★,-,214,143,66.82
